,LATITUD,LONGITUD
304,19.6974520393671,-101.158187243425
305,19.6974520393671,-101.158187243425
306,19.6974520393671,-101.158187243425
307,19.6974520393671,-101.158187243425
308,19.6974520393671,-101.158187243425
309,19.6960924216446,-101.162741971121
310,19.6961391,-101.1627448
311,19.7185755,-101.1980037
312,19.7002008,-101.1684934
313,19.6961391,-101.1627448
314,18.9514103,-101.8142755
315,19.69473,-101.1625045
316,19.6960167,-101.1625667
317,19.69473,-101.1625045
318,19.69473,-101.1625045
319,19.69473,-101.1625045
320,19.69473,-101.1625045
321,19.69473,-101.1625045
322,19.69473,-101.1625045
323,19.7073425,-101.2032619
324,19.7073425,-101.2032619
325,19.7073425,-101.2032619
326,19.7073425,-101.2032619
327,19.7073425,-101.2032619
328,19.7073425,-101.2032619
329,19.7073425,-101.2032619
330,19.6960939653315,-101.162752391223
331,19.2809887,-101.878301
332,19.2809887,-101.878301
333,19.2809887,-101.878301
334,17.9653779,-102.2090828
335,19.6760698,-101.2459335
336,19.6760698,-101.2459335
337,19.6891503,-101.1464736
338,19.7040551,-101.2232675
339,19.7040551,-101.2232675
340,19.7040551,-101.2232675
341,20.7275713238956,-103.552236828626
342,20.1261056,-101.1974144
343,19.6667207,-101.1942853
344,19.7304550181088,-101.207887675158
345,19.6961391698683,-101.162755140214
346,19.7002008,-101.1684934
347,19.7002008,-101.1684934
348,19.7076675,-101.1576587
349,19.7076675,-101.1576587
350,19.7076675,-101.1576587
351,19.7076675,-101.1576587
352,19.7076675,-101.1576587
353,19.7076675,-101.1576587
354,19.7076675,-101.1576587
355,19.6975172004934,-101.15830479466
356,19.695946,-101.162649
357,19.695959,-101.163305
358,19.695946,-101.162649
359,19.695946,-101.162649
360,19.695946,-101.162649
361,19.6962348,-101.1625873
362,19.6962348,-101.1625873
363,19.6962348,-101.1625873
364,19.6962348,-101.1625873
365,19.6962348,-101.1625873
366,19.6962348,-101.1625873
367,19.6962348,-101.1625873
368,19.6962348,-101.1625873
369,19.6962348,-101.1625873
370,19.6962348,-101.1625873
371,19.6962348,-101.1625873
372,19.6962348,-101.1625873
373,19.6962348,-101.1625873
374,19.6962348,-101.1625873
375,19.6962348,-101.1625873
